Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Chaos,Bat,Vampire Bat,Blood Sucker,"After an ally Attacks, this creature recovers Health equal to 100% of the damage dealt.",Vampire Bat Wings
Rodian Master,Bat,Mastery Trait,Master of Bats,Your Bats have a 50% chance to Attack 1 additional time. This effect can occur repeatedly. This trait does not stack.,Sigil of the Bat
Life,Beacon,Atlas Beacon,Heavy Weighs the Crown,Your Chaos creatures and Beacon creatures always have Animated Gem.,Tyrant's Lantern
Life,Beacon,Deathshead Beacon,Pendulum's Return,"Your Death creatures and Beacon creatures always have Agile.
When an enemy Death creature would afflict your creatures with a debuff, they afflict them with a buff instead.",Desecrator's Lantern
Life,Beacon,Lappet Beacon,Due Recompense,"Your Nature creatures and Beacon creatures always have Leeching. When an enemy Nature creature would gain a stat, it loses that stat instead.",Predator's Lantern
Life,Beacon,Luna Beacon,Forbearance Forgone,"Your Sorcery creatures and Beacon creatures always have Protected.
After an enemy Sorcery creature Casts a spell, that Spell Gem is Sealed and this creature's Spell Gems gain 1 Charge.",Stoic's Lantern
Life,Beacon,Pellucid Beacon,Purity and Emptiness,"Your Life creatures and Beacon creatures always have Berserk. When an enemy Life creature would heal on of its allies, it heals one of your creatures instead.",Zealot's Lantern
Life,Beacon,Rosy Beacon,Eternal Reprieve,"At the start of each of your creature's turns, all of your creatures have a 25% chance to recover 20% Health. This trait does not stack.",Mendicant's Lantern
Rodian Master,Beacon,Mastery Trait,Master of Beacons,"At the start of battle, your Beacons' stats are averaged and then increased by 25%. This trait does not stack.",Sigil of the Beacon
Nature,Brownie,Blademaster,Overkill,"After this creature attacks, and the damage exceeds 35% of the target's Maximum Health, enemies take 70% of this damage as well.",Blademaster Maul
Nature,Brownie,Brownie Brute,Ultimatum,"After this creature Attacks, it deals damage to the target and enemies adjacent to the target equal to 50% of this creature's Current Health.",Brute Maul
Nature,Brownie,Brownie Captain,Wallop,"After this creature Attacks, it decreases the Defense of the target and enemies adjacent to the target by 30%.",Captain Maul
Nature,Brownie,Brownie Enforcer,Wrecking Ball,"After this creature Attacks, it afflicts the target with Vulnerable and Stone.",Enforcer Maul
Nature,Brownie,Brownie Loner,Independence,"This creature's attacks always deal Critical damage. In addition, this creature has an independent 30% chance to Dodge attacks.",Loner Maul
Nature,Brownie,Brownie Mauler,Sweeping Smash,"After this creature Attacks, it deals 70% of the damage dealt to adjacent enemies.",Mauler Maul
Nature,Brownie,Brownie Trickster,Brain Bash,"After this creature Attacks, the target has a 100% chance and the enemies adjacent to the target have a 50% chance to be afflicted with Confused.",Trickster Maul
Nature,Brownie,Shogun,Kirisute Gomen,"After this creature attacks, and the damage exceeds 25% of the target's Maximum Health, this creature and the enemy are killed.",Shogun Maul
Rodian Master,Brownie,Mastery Trait,Master of Brownies,Your Brownies Attack 1 additional time for each Brownie fighting on your side. Your creatures deal 50% less damage. This trait does not stack.,Sigil of the Brownie
Sorcery,Carbuncle,Aquamarine Carbuncle,Thirst for Power,"After your creatures Cast a spell, they have a 7% chance to gain a random buff for each spell that has been Cast by all creatures in the current battle.
This trait does not stack.",Aquamarine Trinket
Sorcery,Carbuncle,Emerald Carbuncle,Paramount,"After this creature takes damage, it has a 2% chance to Cast one of its spells for each spell that has been Cast by all creatures in the current battle.
This trait can only activate once per turn.",Emerald Trinket
Sorcery,Carbuncle,Onyx Carbuncle,Magic Barrier,"If your creatures have Cast a total of 12 or more spells in the current battle, your creatures are immune to debuffs.",Onyx Trinket
Sorcery,Carbuncle,Ruby Carbuncle,Annex,This creature has 5% more Intelligence for each spell that has been Cast by all creatures in the current battle.,Ruby Trinket
Sorcery,Carbuncle,Sapphire Carbuncle,Nirvana,"If your creatures have Cast a total of 7 or more spells in the current battle, this creature's spells are 50% more potent and no longer consume Charges.",Sapphire Trinket
Sorcery,Carbuncle,Topaz Carbuncle,Absolute Power,This creature's attacks deal 5% more damage for each spell that has been Cast by all creatures in the current battle.,Topaz Trinket
Nether Boss,Carbuncle,Vitja,Vitja's Games,"After this creature is killed, it Casts 10 random spells.",Vitja's Tail
Nether Boss,Carbuncle,Vitja,Vitja's Surprise,"After this creature is killed or resurrected, it Casts its first Spell Gem 3 times.",Vitja's Jewel
Nether Boss,Carbuncle,Vitja,Vitja's Revenge,"After this creature is resurrected, it Casts 5 of its spells.",Vitja's Ear
Rodian Master,Carbuncle,Mastery Trait,Master of Carbuncles,"If all the creatures in your party are Carbuncles, their innate traits grow stronger twice as fast. This trait does not stack.",Sigil of the Carbuncle
Death,Carnage,Carnage Antagonizer,Demoralize,"After this creature kills a creature, it reduces all enemies' Defense by 50%.",Antagonizer Exoskeleton
Death,Carnage,Carnage Destructor,Rend and Tear,"After this creature kills an enemy, it Attacks the creatures adjacent to it for 100% more damage.",Destructor Exoskeleton
Death,Carnage,Carnage Devourer,Rapid Digestion,"After this creature kills a creature, it gains 5 random buffs.",Devourer Exoskeleton
Death,Carnage,Carnage Tormenter,Deadly Instincts,"After this creature kills an enemy, it deals damage to all other enemies equal to 75% of this creature's Current Health.",Tormenter Exoskeleton
Death,Carnage,Fallen Carnage,Midnight Feast,"After this creature kills a creature, it recovers 100% Health and takes another turn. This trait only allows the creature to take an additional turn once at a time.",Fallen Exoskeleton
Death,Carnage,Rotten Carnage,Consumption,"After this creature kills a creature, it gains 35% of the target's Attack, Intelligence, Defense, and Speed.",Rotten Exoskeleton
Death,Carnage,Shadow Carnage,Augmentation,"After this creature kills a creature, your creatures gain a random buff for each buff, debuff, and minion the target had before it died.",Shadow Exoskeleton
Rodian Master,Carnage,Mastery Trait,Master of Carnages,"After one of your Carnages kill an enemy, your other Carnages Attack a random enemy for 100% more damage. This trait does not stack.",Sigil of the Carnage
Chaos,Carver,Carver Chopper,Eradication,Your creatures have an independent 25% chance to deal Critical damage with attacks for each debuff the enemy has. This trait does not stack.,Chopper Shiv
Chaos,Carver,Carver Heartseeker,Betrayal,"After one of your creatures is damaged and their Health falls below 40%, this creature kills it and gains 100% of its Attack, Intelligence, Defense, and Speed.",Heartseeker Shiv
Chaos,Carver,Carver Sadist,Wild Stabs,"After this creature Defends, it Attacks enemy creatures at random for 50% normal damage. This effect happens 3 to 5 times.",Sadist Shiv
Chaos,Carver,Carver Shadowstalker,Subversion,This creature's attacks deal 75% more damage and afflict the target with Disarmed.,Shadowstalker Shiv
Chaos,Carver,Demented Carver,Roulette,"When this creature Attacks, it has a 50% chance to deal no damage and heal all your creatures for the amount of damage it would have dealt.
Otherwise, it deals 50% more damage.",Demented Shiv
Chaos,Carver,Feral Carver,Confrontation,"At the start of this creature's turn, it Attacks a random enemy for 50% normal damage. Then, that enemy Attacks this creature.",Feral Shiv
Chaos,Carver,Twisted Carver,Peekaboo!,"This creature can target Invisible creatures, and your creatures deal 150% more damage to Invisible creatures. This trait does not stack.",Twisted Shiv
Chaos,Carver,Wicked Carver,Cold Blood,"When this creature deals damage, it deals between 50% and 250% normal damage.",Wicked Shiv
Rodian Master,Carver,Mastery Trait,Master of Carvers,Your Carvers deal 30% more damage and take 10% more damage for each Carver fighting on your side.,Sigil of the Carver
Nature,Centaur,Centaur Chaser,Square Nothing,"After this creature Attacks, it deals 60% of the damage dealt to each enemy that has at least one of the same debuffs as its target.",Chaser Tuft
Nature,Centaur,Centaur Duelist,Touch of Red,"When your creatures attack an enemy multiple times in a row on the same turn, the damage of all their 
attacks is increased by 25% for each attack. This trait does not stack.",Duelist Tuft
Nature,Centaur,Centaur Khan,War Stomp,"After this creature deals critical damage, it deals 20% of this damage to all other enemies.",Khan Tuft
Nature,Centaur,Centaur Raider,Anticipation,"After an enemy is killed, this creature Attacks random enemies 3 times.",Raider Tuft
Nature,Centaur,Centaur Ranger,On The Rocks,"When this creature Attacks, it Attacks an additional number of times equal to the number of spells your creatures casted since it last Attacked.",Ranger Tuft
Nature,Centaur,Centaur Runner,Infinite Struggle,"After this creature Attacks, it has a 25% chance to continue Attacking the target for each debuff it has.",Runner Tuft
Nature,Centaur,Centaur Warrior,Paradigm,"After this creature is Attacked, it Attacks the enemy.",Warrior Tuft
Nature,Centaur,Centaur Wrangler,Sunny Disposition,"After an enemy manually Casts a spell, this creature Attacks it.",Wrangler Tuft
Rodian Master,Centaur,Mastery Trait,Master of Centaurs,"Your Centaurs' attacks deal 20% more damage and have an independent 10% chance to deal critical damage for each Centaur fighting on your side.
This trait does not stack.",Sigil of the Centaur
Chaos,Cerberus,Ashmouth Cerberus,Spell Tap,"This creature can't Cast spells manually, but can equip 3 extra Spell Gems.
At the start of battle, your creatures gain copies of this creature's non-Ethereal Spell Gems. This trait does not stack.",Ashmouth Chain
Chaos,Cerberus,Bound Cerberus,Zero to One,"This creature can't Cast spells manually. After this creature Attacks, it Casts one of its single-target spells on the target.",Bound Chain
Chaos,Cerberus,Caustic Cerberus,Channeling,"This creature can't Cast spells manually. Your creatures have 5% more Attack, Intelligence, Speed, Defense, or Health for each
non-Ethereal Chaos, Sorcery, Nature, Death, or Life Spell Gem this creature has equipped. This trait does not stack.",Caustic Chain
Chaos,Cerberus,Cerberus Banelord,Wrath of the Underworld,"This creature can't Cast spells manually. After this creature takes damage from any source, it has a 30% chance to Cast one of its spells.",Banelord Chain
Chaos,Cerberus,Cerberus Gatewatcher,Abaddon's Boon,"This creature can't Cast spells manually. After this creature Defends, it Casts one of its spells that can target all your creatures.",Gatewatcher Chain
Chaos,Cerberus,Cerberus Hellguard,Hellblast,"This creature can't Cast spells manually. After this creature Provokes, it Casts one of its spells that can target all enemy creatures.",Hellguard Chain
Chaos,Cerberus,Lightning Cerberus,Burst of Power,"This creature can't Cast spells manually. After this creature Attacks, each of its non-Ethereal Spell Gems have a 20% chance to be cast.",Lightning Chain
Rodian Master,Cerberus,Mastery Trait,Master of Cerberuses,"If all the creatures in your party are Cerberuses, they can manually Cast spells.",Sigil of the Cerberus
Life,Cherub,Bhasa Cherub,Great Conjunction,"After your creatures are killed, they have a 25% chance to be resurrected with 50% Health and a Barrier that absorbs damage equal to 50% of their Maximum Health.
This trait does not stack.",Radiant Energy
Life,Cherub,Chandra Cherub,By My Hand,"When your creatures damage enemies with Shelled, all subsequent effects such as on-attack or on-cast effects are no longer prevented.",Celestine Energy
Life,Cherub,Nisha Cherub,Or Else By None,"After this creature Provokes, its Barrier shatters, dealing damage to enemies equal to 50% of its potency and healing your creatures for the same amount.",Sinister Energy
Life,Cherub,Preta Cherub,Sundered and Undone,"When your creatures with Barrier take damage, the Barrier shatters, dealing damage to enemies equal to 35% of its potency. This trait does not stack.",Negative Energy
Life,Cherub,Surya Cherub,Triple Suns,"Your creatures take 90% less damage from Bleeding, Poisoned, Burning, and Bomb.",Blazing Energy
Life,Cherub,Vipina Cherub,The Two Made One,Your creatures' Barrier buffs have 50% more maximum absorption. This trait does not stack.,Floral Energy
Rodian Master,Cherub,Mastery Trait,Master of Cherubs,"If all the creatures in your party are Cherubs, the maximum absorption of their Barrier buffs is increased by 200%. This trait does not stack.",Sigil of the Cherub
Sorcery,Chimera,Arcana Chimera,Eldritch Creation,"At the start of battle, your creatures gain 2 Spell Gems that correspond to their Fused creature's class. This trait does not stack.",Impossible Recipe
Sorcery,Chimera,Blessed Chimera,Raging Spirit,"After your creatures are killed, they have a 35% chance to be resurrected with 50% Health and gain a random trait that belongs to their Fused creature's race.
This trait does not stack.",Orthodox Recipe
Sorcery,Chimera,Draco Chimera,Divine Form,Your creatures start battles with 50% more of whatever stat corresponds to their Fused creature's class. This trait does not stack.,Complicated Recipe
Sorcery,Chimera,Undying Chimera,Appreciation For Ancestry,Your creatures deal 75% more damage and take 50% less damage from creatures that belong to their Fused creature's class. This trait does not stack.,Forbidden Recipe
Sorcery,Chimera,Valor Chimera,Valiant Heart,Your creatures Attack and Cast 1 additional time for each creature with the same secondary Fusion fighting on your side. This trait does not stack.,Hidden Recipe
Sorcery,Chimera,Wylder Chimera,Fairy Blood,"At the start of battle, your creatures gain a random trait that belongs to their Fused creature's class. This trait does not stack.",Natural Recipe
Rodian Master,Chimera,Mastery Trait,Master of Chimeras,"If all the creatures in your party are Chimeras, they take 75% less damage from creatures that belong to their fused creature's class. This trait does not stack.",Sigil of the Chimera
Sorcery,Clockwork,Battle Clockwork,Autonomous Health,"At the start of this creature's turn, it gains 10% Maximum Health plus 10% of the total amount of Maximum Health it has received in the current battle.",Neural Health Implant
Sorcery,Clockwork,Experimental Clockwork,Autonomous Attack,"At the start of this creature's turn, it gains 10% Attack plus 10% of the total amount of Attack it has received in the current battle.",Neural Attack Implant
Sorcery,Clockwork,Foghorn Clockwork,Autonomous Intelligence,"At the start of this creature's turn, it gains 10% Intelligence plus 10% of the total amount of Intelligence it has received in the current battle.",Neural Intelligence Implant
Sorcery,Clockwork,Industrial Clockwork,Autonomous Speed,"At the start of this creature's turn, it gains 10% Speed plus 10% of the total amount of Speed it has received in the current battle.",Neural Speed Implant
Sorcery,Clockwork,Siege Clockwork,Autonomous Defense,"At the start of this creature's turn, it gains 10% Defense plus 10% of the total amount of Defense it has received in the current battle.",Neural Defense Implant
Sorcery,Clockwork,War Clockwork,Autonomous Network,"After your Clockwork creatures' innate traits activate, your other creatures gain 10% of these stats as well. This trait does not stack.",Neural Hive Network Implant
Rodian Master,Clockwork,Mastery Trait,Master of Clockworks,"If all the creatures in your party are Clockworks, their innate traits are 50% more powerful. This trait does not stack.",Sigil of the Clockwork
Death,Clutcher,Deep Clutcher,Shadowmeld,Your creatures have an independent 10% chance to dodge for each debuff the enemy has. This trait does not stack.,"Deep Finger, Heh"
Chaos,Clutcher,Doom Clutcher,Pain Flurry,"After an enemy dodges, this creature Casts a random spell from each class.",Doom Finger
Chaos,Clutcher,Ethereal Clutcher,Sticky Fingers,"After an enemy dodges, this creature decreases its Speed by 50%.",Ethereal Finger
Chaos,Clutcher,Flamegrip Clutcher,Vehemence,"After an enemy dodges, this creature afflicts it with Burning and Scorned.",Flamegrip Finger
Chaos,Clutcher,Necrotic Clutcher,Smack Around,"After an enemy Dodges an Attack from one of your other creatures, this creature Attacks the enemy 2 times.",Necrotic Finger
Chaos,Clutcher,Static Clutcher,Brain Zap,"After an enemy Dodges an Attack, enemies are afflicted with Confused.",Static Finger
Chaos,Clutcher,Venomous Clutcher,Contagion,"After an enemy dodges, this creature afflicts it with Poisoned and Silenced.",Venomous Finger
Chaos,Clutcher,Vital Clutcher,Seize,"After an enemy dodges, this creature afflicts it with Stone and Snared.",Vital Finger
Chaos,Clutcher,Whiptail Clutcher,Lash,"After an enemy Dodges an Attack, they take damage equal to 30% of their Current Health. This trait does not stack.",Lash Finger
Rodian Master,Clutcher,Mastery Trait,Master of Clutchers,"When an enemy dodges your Clutchers' attacks, they still take damage.",Sigil of the Clutcher
Chaos,Cockatrice,Carrion Cockatrice,Strength in Numbers,"Your creatures' traits, spells, and other effects that are affected by the number of creatures that belong to a certain class act as if
they have 2 more of those creatures fighting on your side. This trait does not stack.",Carrion Comb
Chaos,Cockatrice,Cave Cockatrice,Weird Dance,"At the start of battle, this creature gains 2 random traits that belong to the same race as the first creature in your party.",Cave Comb
Chaos,Cockatrice,Clamorous Cockatrice,Odd One,"Your creatures' traits, spells, and other effects that are affected by the number of creatures that belong to a certain race act as if they
had 2 more of those creatures fighting on your side. This trait does not stack.",Cacophonous Comb
Chaos,Cockatrice,Clawing Cockatrice,Outcast No Longer,"At the start of battle, the races of the last 3 creatures in your party are changed to that of the first creature in your party.",Clawing Comb
Chaos,Cockatrice,Cold Cockatrice,Blending In,"At the start of battle, the classes of the last 3 creatures in your party are changed to that of the first creature in your party.",Cold Comb
Chaos,Cockatrice,Contagious Cockatrice,Cock-a-doodle-doo,"At the start of battle, your Cockatrice creatures gain a random Cockatrice trait. This trait does not stack.",Contagious Comb
Rodian Master,Cockatrice,Mastery Trait,Master of Cockatrices,"If all the creatures in your party are Cockatrices, enemies always have Confused.",Sigil of the Cockatrice
Chaos,Concoction,Blobbarian,Acid Body,"After this creature is Attacked, it afflicts the enemy with Disarmed and Seals one of their Spell Gems.",Blobbarian Gel
Chaos,Concoction,Gloopidator,Squelch,"After an enemy is afflicted with Disarmed, they are also afflicted with Scorned or Silenced, depending on whether their Attack or Intelligence is higher. 
This trait does not stack.",Gloopdiator Gel
Chaos,Concoction,Gooarrior,Overcome,"After this creature attacks, its Artifact's Spell Slot has an independent 50% chance to activate.",Gooarrior Gel
Chaos,Concoction,Mystery Mucus,Dissolve,Enemies that are Disarmed have a 50% chance for their Attacks to fail. This trait does not stack.,Mystery Gel
Chaos,Concoction,Sludgechemist,Reticence,Enemies gain 35% less benefit from their Artifacts' Stat Slots (other than Health). This trait does not stack.,Sludgechemist Gel
Chaos,Concoction,Swordslime,Yuck,Enemies that are Disarmed cannot Dodge or deal Critical damage.,Swordslime Gel
Rodian Master,Concoction,Mastery Trait,Master of Concoction,"If all the creatures in your party are Concoctions, they have a 50% chance to Attack each enemy with Disarmed at the start of their turns. This trait does not stack.",Sigil of the Concoction
Sorcery,Construct,Astro Construct,Helix,Your creatures have 20% more Defense for each non-Ethereal Arsenal Spell they have equipped. This trait does not stack.,Astro Soul
Sorcery,Construct,Bloodmail Construct,Stay Inspired,Your creatures have 20% more Intelligence for each time any of your creatures have manually Cast an Arsenal Spell in the current battle. This trait does not stack.,Bloodmail Soul
Life,Construct,Heavenshield Construct,Defiance,"At the start of battle, this creature and the creatures adjacent to it Cast a random Living Shield spell.",Heavenshield Soul
Chaos,Construct,Magma Construct,Chaos Through Creation,"After this creature Attacks, it Casts a Living Lance spell that matches the target's class.",Magma Soul
Death,Construct,Nightveil Construct,Forsaken Horizon,"This creature can Cast Arsenal Spells without consuming Charges, and these spells are Cast 2 additional times.",Nightveil Soul
Chaos,Construct,Redsteel Construct,Feed The Fire,Your creatures have 20% more Attack for each time any of your creatures have manually Cast an Arsenal Spell in the current battle. This trait does not stack.,Redsteel Soul
Death,Construct,Silverbone Construct,Masquerade,"At the start of battle, your creatures gain 2 random Arsenal Spells. This trait does not stack.",Silverbone Construct
Life,Construct,Skywatch Construct,I Am Above,"After one of your creatures manually Casts an Arsenal Spell, your other creatures' Artifacts have a 35% chance to Cast the spell in their Spell Slot. This trait does not stack.",Skywatch Soul
Nature,Construct,Treewall Construct,Safety Pin,"After this creature is damaged by an attack or spell, it has a 30% chance to Cast Living Armor. After this creature Attacks, it Casts Living Axe.",Treewall Soul
Nature,Construct,Willow Construct,Justice For None,"When your creatures are afflicted with a debuff, they have a 25% chance to Cast Living Helmet. This trait does not stack.",Willow Soul
Rodian Master,Construct,Mastery Trait,Master of the Constructs,Your Constructs' Arsenal Spell spells are 70% more potent. This trait does not stack.,Sigil of the Construct
Sorcery,Cruncher,Bloodstone Cruncher,Shellshock,"After this creature is Attacked, it seals one of the target's Spell Gems and Provokes.",Bloodsucker Carapace
Sorcery,Cruncher,Elder Cruncher,No Prayers,"When this creature Attacks, it deals 15% more damage for each Sealed Spell Gem the target has.",Elder Carapace
Sorcery,Cruncher,Frostbite Cruncher,Munch,"After this creature Attacks, it Seals one of the target's Spell Gems and gains 20% Attack.",Frostbite Carapace
Sorcery,Cruncher,Jewel Cruncher,Shorted Out,"After this creature is affected by an enemy's spell, it Seals the Spell Gem and gains a copy of it.",Treasure Carapace
Sorcery,Cruncher,Possessed Cruncher,Something to Complain About,Enemies deal 10% less damage for each Sealed Spell Gem they have.,Possessed Carapace
Sorcery,Cruncher,Prismatic Cruncher,Relish the Kill,"After this creature kills an enemy, it Seals the enemy's Spell Gems and gains 20% Attack and 10% Defense for each Spell Gem it sealed.",Rainbow Carapace
Nether Boss,Cruncher,Myrtle,Myrtle's Greed,"After an ally is killed, this creature gains 50% of its stats.",Myrtle's Scales
Nether Boss,Cruncher,Myrtle,Myrtle's Hunger,"After an enemy is killed, this creature gains 20% of its stats.",Myrtle's Shell
Nether Boss,Cruncher,Myrtle,Myrtle's Perseverence,"After a creature is killed, this creature is resurrected with 100% Health.",Myrtle's Tooth
Rodian Master,Cruncher,Mastery Trait,Master of Crunchers,"If all the creatures in your party are Crunchers, they deal 10% more damage for each Sealed enemy Spell Gem. This trait does not stack.",Sigil of the Cruncher
Life,Crusader,Blood Crusader,Blood Weapon,"This creature always has Mending and Leeching, and this creature receives 100% more healing from all sources.",Blood Hammer
Life,Crusader,Dawn Crusader,Royal Authority,"This creature always has Protected and Repelling, and Defends at the end of its turn.",Dawn Hammer
Life,Crusader,Dusk Crusader,Amalgamy,"After this creature Attacks, it gains 30% Defense.",Dusk Hammer
Sorcery,Crusader,Heretic Crusader,Inner Force,Your creatures deal additional damage with attacks and spells equal to 50% of the potency of their Barrier.,Heretic Hammer
Life,Crusader,Holy Crusader,Faith's Armor,"After this creature Attacks or is Attacked, it gains Shelled.",Holy Hammer
Life,Crusader,Mist Crusader,Galvanization,"After this creature Attacks, it gains a Barrier that absorbs damage equal to 50% of its Health.",Mist Hammer
Life,Crusader,Moon Crusader,Lunar Ending,"After this creature Attacks, it has a 75% chance to Cast Holy Smite. Otherwise, it Casts Holy Nova.",Moon Hammer
Life,Crusader,Sun Crusader,Bathed In Light,"After this creature Attacks, it recovers 75% Health.",Sun Hammer
Rodian Master,Crusader,Mastery Trait,Master of Crusaders,Your Crusaders start battles with Shelled.,Sigil of the Crusader
Life,Demigod,Ceaseless Maker,Anomaly,The damage this creature deals with attacks and spells is based on its Defense rather than its Attack or Intelligence. This creature deals 50% less damage.,Ceaseless Crown
Life,Demigod,Celestial Idol,Solence,"After this creature is attacked, it sets the enemy's stats equal to its lowest stat.",Celestial Crown
Life,Demigod,Eternal Divinity,Consciousness,"At the start of battle, this creature gains Maximum Health equal to 15% of your other creatures' Maximum Health.",Eternal Crown
Life,Demigod,Immortal King,Celestial Fortitude,Your creatures cannot take damage that exceeds 20% of their Maximum Health. The amount of damage prevented cannot exceed 100% of the creature's Maximum Health.,Immortal Crown
Life,Demigod,Infinite Lord,Calamity,This creature deals additional damage equal to 75% of its missing Health.,Infinite Crown
Life,Demigod,Omnipotent Deity,Singularity,"Your creatures have additional Attack, Intelligence, and Defense equal to 10% of their Current Health. This trait does not stack.",Omnipotent Crown
Death,Demigod,Supreme Administrator,Reconstructed Memories,"After this creature Attacks, it Casts the last spell that any creature Cast in the current battle.",Supreme Crown
Life,Demigod,Timeless Master,Equilibrium,This creature deals additional damage with attacks and spells equal to 25% of the total damage the enemy has received in the current battle.,Timeless Crown
Nether Boss,Demigod,Noetherian,Noetherian's Adamance,"After your creatures' Barrier buffs are destroyed, they gain Shelled.",Noetherian's Right Hand
Nether Boss,Demigod,Noetherian,Noetherian's Bouquet,Your creatures' damage bypasses the enemies' Barrier buffs.,Noetherian's Soul
Nether Boss,Demigod,Noetherian,Noetherian's Objection,"After an enemy's Barrier is destroyed, it takes damage equal to 100% of the Barrier's original potency. This trait does not stack.",Noetherian's Left Hand
Rodian Master,Demigod,Mastery Trait,Master of Demigods,"At the start of battle, your Demigods' stats are averaged and then increased by 25%. This trait does not stack.",Sigil of the Demigod
Chaos,Devil,Bunny Devil,Eggnapper,"At the start of battle, this creature Seals your creatures' non-Ethereal Spell Gems and gains a copy of them.",Bunny Egg
Chaos,Devil,Cinder Devil,Giant's Destruction,This creature deals 200% more damage to Nature creatures and takes 65% less damage from them.,Cinder Bracer
Chaos,Devil,Doom Devil,Devil's Deceit,This creature deals 200% more damage to Chaos creatures and takes 65% less damage from them.,Doom Bracer
Chaos,Devil,Krampus,You Ruined Christmas,Your Devil Creatures share their innate traits with each other.,Christmas Bracer
Chaos,Devil,Skull Devil,Revenant's Toll,This creature deals 200% more damage to Death creatures and takes 65% less damage from them.,Skull Bracer
Chaos,Devil,Smoke Devil,Smoking Kills,"Your creatures deal 100% more damage to creatures that belong to their own class, and take 35% less damage from them. This trait does not stack.",Smoke Bracer
Chaos,Devil,Stone Devil,Angel's Horror,This creature deals 200% more damage to Life creatures and takes 65% less damage from them.,Stone Bracer
Chaos,Devil,Twisted Devil,Dragon's Undoing,This creature deals 200% more damage to Sorcery creatures and takes 65% less damage from them.,Twisted Bracer
Rodian Master,Devil,Mastery Trait,Master of Devils,Increases the additional damage granted by your Devils' innate traits from 200% to 300%.,Sigil of the Devil
Chaos,Diabolic Horde,Diabolic Bhuta,Diabolic Celebration,"At the start of battle, your Diabolic Horde gain a random Spell Gem that belongs to their class for each Diabolic Horde fighting on your side. This trait does not stack.",Bhuta Flag
Chaos,Diabolic Horde,Diabolic Commander,Diabolic Fortitude,Your Diabolic Horde have 10% more Health for each Diabolic Horde fighting on your side. This trait does not stack.,Commander Flag
Chaos,Diabolic Horde,Diabolic Henchman,Diabolic Onslaught,Your Diabolic Horde have 10% more Speed for each Diabolic Horde fighting on your side. This trait does not stack.,Henchman Flag
Chaos,Diabolic Horde,Diabolic Insurgent,Diabolic Heritage,"After your Diabolic Horde receive a buff, they share a copy of that buff with all the Diabolic Horde fighting on your side.",Insurgent Flag
Chaos,Diabolic Horde,Diabolic Intruder,Diabolic Power,Your Diabolic Horde have 10% more Intelligence for each Diabolic Horde fighting on your side. This trait does not stack.,Intruder Flag
Chaos,Diabolic Horde,Diabolic Menace,Diabolic Brilliance,Your Diabolic Horde's Spell Gems have 1 more Charge for each Diabolic Horde fighting on your side. This trait does not stack.,Menace Flag
Chaos,Diabolic Horde,Diabolic Nemesis,Diabolic Link,"At the start of battle, your Diabolic Horde share their Maximum Health with each other. Then, their Maximum Health is decreased by 75%.",Nemesis Flag
Chaos,Diabolic Horde,Diabolic Observer,Diabolic Protection,Your Diabolic Horde take 5% less damage for each Diabolic Horde fighting on your side. This trait does not stack.,Observer Flag
Chaos,Diabolic Horde,Diabolic Rebel,Diabolic Revolution,Your creatures' Diabolic Horde traits act as if your party contains 3 more Diabolic Horde. This trait does not stack.,Rebel Flag
Chaos,Diabolic Horde,Diabolic Spectator,Diabolic Resilience,Your Diabolic Horde have 10% more Defense for each Diabolic Horde fighting on your side. This trait does not stack.,Spectator Flag
Chaos,Diabolic Horde,Diabolic Watchman,Diabolic Might,Your Diabolic Horde have 10% more Attack for each Diabolic Horde fighting on your side. This trait does not stack.,Watchman Flag
Rodian Master,Diabolic Horde,Mastery Trait,Master of Diabolic Horde,"At the start of battle, your creatures' races are changed to Diabolic Horde.",Sigil of the Diabolic Horde
Sorcery,Djinn,Djinn Arcanomancer,Ascendancy,This creature can Cast without consuming Charges.,Arcanomancer Lamp
Sorcery,Djinn,Djinn Dreamweaver,Chain Spells,"After this creature manually Casts a spell, it Casts 2 random spells that belong to the same class.",Dreamweaver Lamp
Sorcery,Djinn,Djinn Evoker,Mega Bomb,"After this creature Provokes, it deals damage to enemies equal to 5% of its Intelligence for each Ethereal Spell Gem it has.",Evoker Lamp
Sorcery,Djinn,Djinn Ghula,Atmosphere,"After this creature Provokes, it Casts Elemental Barrage.",Ghula Lamp
Sorcery,Djinn,Djinn Illusionist,Alleviation,This creature deals 10% more damage with spells for each Charge the Spell Gem is missing.,Illusionist Lamp
Sorcery,Djinn,Djinn Pyromancer,Pyromaniac,"After one of your creatures manually Cast a spell, this creature deals damage to all enemies equal to 35% of its Intelligence.",Pyromancer Lamp
Sorcery,Djinn,Unchained Djinn,Ley Lines,"After this creature Defends, your creatures gain 2 random Ethereal Spell Gems.",Unchained Lamp
Sorcery,Djinn,Vengeful Djinn,Celebrate Decline,"When your creatures' Artifact's Spell Slots activate, these spells are Cast 1 additional time. This trait does not stack.",Vengeful Lamp
Rodian Master,Djinn,Mastery Trait,Master of Djinns,Your Djinns' spells always deal cricial damage and have 40% more potency. This trait does not stack.,Sigil of the Djinn
Chaos,Doom Fortress,Alcazar,Steadfast Resilience,"After your creatures Provoke, they gain 35% Defense and recover 25% Health. This trait does not stack.",Alcazar Brick
